City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Punto Fijo,12,VE,1552970714,73,11.69,-70.21,77.7,19.39
Havoysund,68,NO,1552969200,86,71.0,24.66,26.6,10.29
Port Lincoln,0,AU,1552970714,84,-34.72,135.86,68.52,9.66
Kiri Buru,48,IN,1552970715,61,22.08,85.35,81.57,3.62
Alice Springs,0,AU,1552968000,11,-23.7,133.88,95.0,13.87
Esperance,20,TT,1552970407,83,10.24,-61.45,77.0,4.7
Carolina,1,PR,1552970694,69,18.38,-65.96,75.2,12.8
Lompoc,1,US,1552970533,62,34.64,-120.46,57.0,2.95
Gwanda,0,ZW,1552970716,70,-20.94,29.0,71.4,5.53
Gorontalo,20,ID,1552970716,47,0.54,123.06,91.11,2.17
San Isidro,36,PH,1552970717,64,16.74,121.63,86.16,5.53
Adelaide,0,AU,1552970434,60,-34.93,138.6,89.01,14.99
Teguldet,76,RU,1552970718,69,57.31,88.17,26.49,4.63
Souillac,90,FR,1552970708,100,45.6,-0.6,44.01,5.82
Te Anau,20,NZ,1552970718,66,-45.41,167.72,67.35,2.17
Mahon,75,IE,1552970522,93,51.89,-8.4,44.6,8.05
Delijan,0,IR,1552970719,79,33.99,50.69,38.46,3.4
Lasa,20,CY,1552968000,87,34.92,32.53,53.6,6.93
Raudeberg,20,NO,1552970711,80,61.99,5.14,36.0,10.29
Kangaatsiaq,24,GL,1552970720,100,68.31,-53.46,-7.17,14.81
Kungurtug,8,RU,1552970720,50,50.6,97.53,13.89,5.08
Makakilo City,1,US,1552970594,53,21.35,-158.09,75.2,9.17
Camacha,75,PT,1552968000,62,33.08,-16.33,59.0,9.17
Artyom,0,RU,1552968000,24,43.36,132.19,59.0,8.95
Solnechnyy,0,RU,1552970679,64,50.72,136.64,20.01,4.52
Westport,92,IE,1552970589,89,53.8,-9.52,50.0,13.91
Isla del Bosque,5,MX,1552966920,63,22.73,-105.85,66.2,2.24
Anadyr,40,RU,1552970596,76,64.73,177.51,-11.01,17.9
Cherskiy,36,RU,1552970582,63,68.75,161.3,-8.26,7.76
Constitucion,0,MX,1552970609,63,23.99,-104.67,47.19,6.64
Kukuna,24,SL,1552970723,89,8.64,-12.57,72.66,2.39
Aitape,56,PG,1552970723,89,-3.15,142.36,81.84,13.69
